plant species;plant family;plant genus;additional information;community studied;literature source 1;link 1;literature source 2;link 2;literature source 3;link 3;reference;class;subclass;order;alliance;suballiance;community;continent/region;country;location name;decimal longitude;absolute latitude;decimal latitude;altitude [meters above sea level];year of the  data collection;mean yearly air temperature in degrees Celsius;January - mean monthly temp. [degrees Celsius];February - mean monthly temp. [degrees Celsius];March - mean monthly temp. [degrees Celsius];April - mean monthly temp. [degrees Celsius];May - mean monthly temp. [degrees Celsius];June - mean monthly temp. [degrees Celsius];July - mean monthly temp. [degrees Celsius];August - mean monthly temp. [degrees Celsius];September - mean monthly temp. [degrees Celsius];October - mean monthly temp. [degrees Celsius];November - mean monthly temp. [degrees Celsius];December - mean monthly temp. [degrees Celsius];total yearly  pecipitation in mm;January - total precipitation;February - total precipitation;March - total precipitation;April - total precipitation;May - total precipitation;June - total precipitation;July - total precipitation;August - total precipitation;September - total precipitation;October - total precipitation;November - total precipitation;December - total precipitation;flowering start;flowering end;flowering peak;flowering peak 2 (if occured);flowering lenght;total number of plants per m^2;total number of trees examined;total number of flowers per m^2;total number of inflorescenses per m^2;total number of flowers per m^2 of crown surface;total number of inflorescenses per m^2 of crown surface;total number of flowers per a single tree;total number of flowers per plant;total number of inflorescenses per a single tree;total number of inflorescenses per plant;tree age;mean number of flowering flowers per m^2 per day;peak number of flowering flowers per m^2;flower longevity [days];total nectar in µg per flower;total nectar in µL per flower;nectar in µg/flower/day ;nectar in µL/flower/day ;nectar in µg/inflorescence/day ;sugar concentration % in nectar;total sugar in µg per flower;sugar in µg/flower/day;total sugar in mg per inflorescence;sugar in µg/inflorescence/day;sugar yield in kg/ha per 1 year;sugar yield in g per tree per 1 year;sugar yield in g per 1 m^3 of the tree crown;honey yield in kg/ha per 1 year;honey yield from 1 flower in mg per 1 year;honey yield in g per 1 m^3 of the tree crown;honey yield in kg/tree per 1 year;total pollen yield per 1 year in kg/ha;total pollen yield per 1 year in kg per a single tree;total pollen yield per 1 year in number of grains per a single tree;total pollen in µg/flower;total pollen in µL/flower;total pollen per flower (the number of grains);total pollen in µg/inflorescence;total pollen in µL/inflorescence;total pollen in µg/plant/year;total pollen in number of grains per inflorescence;pollen in µg/flower/day ;pollen in µL/flower/day ;pollen in µL/inflorescence/day ;yearly pollen yield in number of grains per m^2 of the  crown;yearly pollen yield in g per 1 m^3 of the tree crown
Malus domestica;Rosaceae;Malus;variety 'Cortland';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1977;;;;;;;;;;;;;;;;;;;;;;;;;;;121;129;;;9.0;0.07;4;243;;;;;;;;;;;;;;;;;27.80;3200.00;;;;;;;9.7;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'McIntosh';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1977;;;;;;;;;;;;;;;;;;;;;;;;;;;122;128;;;7.0;0.13;4;266;;;;;;;;;;;;;;;;;25.40;2950.00;;;;;;;9.8;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Jerseymac';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1977;;;;;;;;;;;;;;;;;;;;;;;;;;;122;130;;;9.0;0.06;4;421;;;;;;;;;;;;;;;;;27.50;2000.00;;;;;;;10.3;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Koksa pomarañczowa';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1977;;;;;;;;;;;;;;;;;;;;;;;;;;;122;131;;;10.0;0.07;4;278;;;;;;;;;;;;;;;;;25.10;2990.00;;;;;;;10.4;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Bankroft';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1976;;;;;;;;;;;;;;;;;;;;;;;;;;;133;144;;;12.0;0.24;4;389;;;;;;;;;;;;;;;;;25.20;2420.00;;;;;;;11.8;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Wealthy';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1977;;;;;;;;;;;;;;;;;;;;;;;;;;;121;133;;;13.0;0.04;4;293;;;;;;;;;;;;;;;;;34.00;3530.00;;;;;;;12.9;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Koksa pomarañczowa';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1976;;;;;;;;;;;;;;;;;;;;;;;;;;;133;147;;;15.0;0.07;4;330;;;;;;;;;;;;;;;;;24.30;3190.00;;;;;;;13.2;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Oliwka';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1976;;;;;;;;;;;;;;;;;;;;;;;;;;;131;149;;;19.0;0.13;4;274;;;;;;;;;;;;;;;;;24.80;4070.00;;;;;;;13.9;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Starkrimson';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1976;;;;;;;;;;;;;;;;;;;;;;;;;;;133;145;;;13.0;0.22;4;443;;;;;;;;;;;;;;;;;25.80;3060.00;;;;;;;16.9;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Spartan';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1977;;;;;;;;;;;;;;;;;;;;;;;;;;;122;132;;;11.0;0.18;4;456;;;;;;;;;;;;;;;;;28.60;3040.00;;;;;;;17.3;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'James Grieve';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1976;;;;;;;;;;;;;;;;;;;;;;;;;;;131;148;;;18.0;0.13;4;461;;;;;;;;;;;;;;;;;24.30;3400.00;;;;;;;20.7;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'James Grieve';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1977;;;;;;;;;;;;;;;;;;;;;;;;;;;121;127;;;7.0;0.13;4;502;;;;;;;;;;;;;;;;;27.30;3520.00;;;;;;;22.1;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Beforest';field experiment;Szklanowska et al 1978;https://agris.fao.org/agris-search/search.do?recordID=US201302842678;;;;;Szklanowska, K., D¹bska, B., Jab³oñski, B. 1978. Badania biologii kwitnienia, nektarowania i zapylania jab³oni (Malus domestica Borkh.) II Nektarowanie i wydajnoœæ miodowa. [Investigations on biology of blooming, nectar secretion and pollination of apple trees (Malus domestica Borkh.) II Nectar production and honey yield]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 22, pp. 147-165.;;;;;;;Europe;Poland;Pu³awy;22.00;51.4;51.40;;1977;;;;;;;;;;;;;;;;;;;;;;;;;;;121;127;;;7.0;0.07;4;536;;;;;;;;;;;;;;;;;36.50;3330.00;;;;;;;22.3;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;;orchard;Warakomska 1972;https://agris.fao.org/agris-search/search.do?recordID=US201303269548;;;;;Warakomska, Z. 1972.  Badania nad wydajnoœci¹ py³kow¹ roœlin [Studies on floral pollen production]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 16, pp. 63-90;;;;;;;Europe;France;Bures-sur-Yvette;2.16;48.70;48.70;;1963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;1600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.90;0.1290;;1683.0;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;;orchard;Warakomska 1972;https://agris.fao.org/agris-search/search.do?recordID=US201303269548;;;;;Warakomska, Z. 1972.  Badania nad wydajnoœci¹ py³kow¹ roœlin [Studies on floral pollen production]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 16, pp. 63-90;;;;;;;Europe;France;Bures-sur-Yvette;2.16;48.70;48.70;;1963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.80;0.1290;;1683.0;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;;orchard;Warakomska 1972;https://agris.fao.org/agris-search/search.do?recordID=US201303269548;;;;;Warakomska, Z. 1972.  Badania nad wydajnoœci¹ py³kow¹ roœlin [Studies on floral pollen production]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 16, pp. 63-90;;;;;;;Europe;France;Bures-sur-Yvette;2.16;48.70;48.70;;1963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;1600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.60;0.1290;;1683.0;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Reneta Simirenka';unknown;Warakomska 1972;https://agris.fao.org/agris-search/search.do?recordID=US201303269548;;;;;"Kurennoj, N.M. 1969. Znaczenije miodonosnych pczol w regularnom plodonoszeniji jabloni. Izdat. ""Ko³os"". Moskwa, pp. 187-191, AFTER Warakomska, Z. 1972.  Badania nad wydajnoœci¹ py³kow¹ roœlin [Studies on floral pollen production]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 16, pp. 63-90";;;;;;;Europe;Poland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;variety 'Reneta Simirenka';unknown;Warakomska 1972;https://agris.fao.org/agris-search/search.do?recordID=US201303269548;;;;;"Kurennoj, N.M. 1969. Znaczenije miodonosnych pczol w regularnom plodonoszeniji jabloni. Izdat. ""Ko³os"". Moskwa, pp. 187-191, AFTER Warakomska, Z. 1972.  Badania nad wydajnoœci¹ py³kow¹ roœlin [Studies on floral pollen production]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 16, pp. 63-90";;;;;;;Europe;Poland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malus domestica;Rosaceae;Malus;;unknown;Warakomska 1972;https://agris.fao.org/agris-search/search.do?recordID=US201303269548;;;;;"Kurennoj, N.M. 1969. Znaczenije miodonosnych pczol w regularnom plodonoszeniji jabloni. Izdat. ""Ko³os"". Moskwa, pp. 187-191, AFTER Warakomska, Z. 1972.  Badania nad wydajnoœci¹ py³kow¹ roœlin [Studies on floral pollen production]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 16, pp. 63-90";;;;;;;Europe;France;Bures-sur-Yvette;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;75000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malus floribunda;Rosaceae;Malus;;field experiment;Szklanowska 1987;"http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-d588371a-5d5b-4d33-9a2c-fda82f625b13?q=bwmeta1.element.agro-6935abe0-718d-4953-89b1-3e9a726d43c5;2&qt=CHILDREN-STATELESS";;;;;Szklanowska, K. 1987. Pszczelarska wartoœæ jab³oni ozdobnych stosowanych jako zapylacze w sadach [The apicultural value of ornamental apple tress applied as pollinators in production orchards]. Pszczelarskie Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 189-206.;;;;;;;Europe;Poland;Lublin area;22.49;51.27;51.27;;1984;;;;;;;;;;;;;;;;;;;;;;;;;;;130;139;;;10.0;;;;;;;1284;;;;;;;;;;;;;49.20;410.00;;;;;0.77;;;;;;;0.0011;;600.0;;;;;;;;;;;
Malus floribunda;Rosaceae;Malus;;field experiment;Szklanowska 1987;"http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-d588371a-5d5b-4d33-9a2c-fda82f625b13?q=bwmeta1.element.agro-6935abe0-718d-4953-89b1-3e9a726d43c5;2&qt=CHILDREN-STATELESS";;;;;Szklanowska, K. 1987. Pszczelarska wartoœæ jab³oni ozdobnych stosowanych jako zapylacze w sadach [The apicultural value of ornamental apple tress applied as pollinators in production orchards]. Pszczelarskie Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 189-206.;;;;;;;Europe;Poland;Lublin area;22.49;51.27;51.27;;1986;;;;;;;;;;;;;;;;;;;;;;;;;;;123;129;;;7.0;;;;;;;1353;;;;;;;;;;;;;49.20;410.00;;;;;0.77;;;;;;;0.0011;;600.0;;;;;;;;;;;
Malus floribunda;Rosaceae;Malus;;field experiment;Szklanowska 1987;"http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-d588371a-5d5b-4d33-9a2c-fda82f625b13?q=bwmeta1.element.agro-6935abe0-718d-4953-89b1-3e9a726d43c5;2&qt=CHILDREN-STATELESS";;;;;Szklanowska, K. 1987. Pszczelarska wartoœæ jab³oni ozdobnych stosowanych jako zapylacze w sadach [The apicultural value of ornamental apple tress applied as pollinators in production orchards]. Pszczelarskie Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 189-206.;;;;;;;Europe;Poland;Lublin area;22.49;51.27;51.27;;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;133;138;;;6.0;;;;;;;2934;;;;;;;;;;;;;49.20;410.00;;;;;0.77;;;;;;;0.0011;;600.0;;;;;;;;;;;
Malus purpurea;Rosaceae;Malus;cv. 'Aldenhamensis';unknown;Church & Williams 1983;https://www.tandfonline.com/doi/abs/10.1080/00221589.1983.11515126;;;;;Church, R. M., Williams, R. R. 1983. Comparison of flower numbers and pollen production of several dessert apple and ornamental Malus cultivars. Journal of Horticultural Science. 58, pp. 327-336.;;;;;;;Europe;United Kingdom;;;;;;1972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700.0;;;;;;;;;;;
Malus purpurea;Rosaceae;Malus;cv. 'Aldenhamensis';unknown;Church & Williams 1983;https://www.tandfonline.com/doi/abs/10.1080/00221589.1983.11515126;;;;;Church, R. M., Williams, R. R. 1983. Comparison of flower numbers and pollen production of several dessert apple and ornamental Malus cultivars. Journal of Horticultural Science. 58, pp. 327-336.;;;;;;;Europe;United Kingdom;;;;;;1973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700.0;;;;;;;;;;;
Malus purpurea;Rosaceae;Malus;cv. 'Aldenhamensis';unknown;Church & Williams 1983;https://www.tandfonline.com/doi/abs/10.1080/00221589.1983.11515126;;;;;Church, R. M., Williams, R. R. 1983. Comparison of flower numbers and pollen production of several dessert apple and ornamental Malus cultivars. Journal of Horticultural Science. 58, pp. 327-336.;;;;;;;Europe;United Kingdom;;;;;;1971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;800.0;;;;;;;;;;;
Malus purpurea;Rosaceae;Malus;cv. 'Aldenhamensis';unknown;Church & Williams 1983;https://www.tandfonline.com/doi/abs/10.1080/00221589.1983.11515126;;;;;Church, R. M., Williams, R. R. 1983. Comparison of flower numbers and pollen production of several dessert apple and ornamental Malus cultivars. Journal of Horticultural Science. 58, pp. 327-336.;;;;;;;Europe;United Kingdom;;;;;;1974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1100.0;;;;;;;;;;;
Malus purpurea;Rosaceae;Malus;cv. 'Aldenhamensis';unknown;Church & Williams 1983;https://www.tandfonline.com/doi/abs/10.1080/00221589.1983.11515126;;;;;Church, R. M., Williams, R. R. 1983. Comparison of flower numbers and pollen production of several dessert apple and ornamental Malus cultivars. Journal of Horticultural Science. 58, pp. 327-336.;;;;;;;Europe;United Kingdom;;;;;;1979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2479;;;;;;;;;;;;;;;;;;;;;;;;;;;;1720.0;;;;;;;;;;;
Malus purpurea;Rosaceae;Malus;cv. 'Aldenhamensis';unknown;Church & Williams 1983;https://www.tandfonline.com/doi/abs/10.1080/00221589.1983.11515126;;;;;Church, R. M., Williams, R. R. 1983. Comparison of flower numbers and pollen production of several dessert apple and ornamental Malus cultivars. Journal of Horticultural Science. 58, pp. 327-336.;;;;;;;Europe;United Kingdom;;;;;;1976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malus purpurea;Rosaceae;Malus;cv. 'Aldenhamensis';unknown;Church & Williams 1983;https://www.tandfonline.com/doi/abs/10.1080/00221589.1983.11515126;;;;;Church, R. M., Williams, R. R. 1983. Comparison of flower numbers and pollen production of several dessert apple and ornamental Malus cultivars. Journal of Horticultural Science. 58, pp. 327-336.;;;;;;;Europe;United Kingdom;;;;;;1977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;603;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malus purpurea;Rosaceae;Malus;cv. 'Aldenhamensis';unknown;Church & Williams 1983;https://www.tandfonline.com/doi/abs/10.1080/00221589.1983.11515126;;;;;Church, R. M., Williams, R. R. 1983. Comparison of flower numbers and pollen production of several dessert apple and ornamental Malus cultivars. Journal of Horticultural Science. 58, pp. 327-336.;;;;;;;Europe;United Kingdom;;;;;;1978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malus sargentii;Rosaceae;Malus;;field experiment;Szklanowska 1987;"http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-d588371a-5d5b-4d33-9a2c-fda82f625b13?q=bwmeta1.element.agro-6935abe0-718d-4953-89b1-3e9a726d43c5;2&qt=CHILDREN-STATELESS";;;;;Szklanowska, K. 1987. Pszczelarska wartoœæ jab³oni ozdobnych stosowanych jako zapylacze w sadach [The apicultural value of ornamental apple tress applied as pollinators in production orchards]. Pszczelarskie Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 189-206.;;;;;;;Europe;Poland;Lublin area;22.49;51.27;51.27;;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;134;140;;;7.0;;;;;;;3220;;;;;;;;;;;;;38.90;320.00;;;;;1.54;;;;;;;0.0037;;760.0;;;;;;;;;;;
Malus sargentii;Rosaceae;Malus;;field experiment;Szklanowska 1987;"http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-d588371a-5d5b-4d33-9a2c-fda82f625b13?q=bwmeta1.element.agro-6935abe0-718d-4953-89b1-3e9a726d43c5;2&qt=CHILDREN-STATELESS";;;;;Szklanowska, K. 1987. Pszczelarska wartoœæ jab³oni ozdobnych stosowanych jako zapylacze w sadach [The apicultural value of ornamental apple tress applied as pollinators in production orchards]. Pszczelarskie Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 189-206.;;;;;;;Europe;Poland;Lublin area;22.49;51.27;51.27;;1986;;;;;;;;;;;;;;;;;;;;;;;;;;;126;132;;;7.0;;;;;;;4770;;;;;;;;;;;;;38.90;320.00;;;;;1.54;;;;;;;0.0037;;760.0;;;;;;;;;;;
Malus sargentii;Rosaceae;Malus;;field experiment;Szklanowska 1987;"http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-d588371a-5d5b-4d33-9a2c-fda82f625b13?q=bwmeta1.element.agro-6935abe0-718d-4953-89b1-3e9a726d43c5;2&qt=CHILDREN-STATELESS";;;;;Szklanowska, K. 1987. Pszczelarska wartoœæ jab³oni ozdobnych stosowanych jako zapylacze w sadach [The apicultural value of ornamental apple tress applied as pollinators in production orchards]. Pszczelarskie Zeszyty Naukowe [Journal of Apicultural Science]. 31, pp. 189-206.;;;;;;;Europe;Poland;Lublin area;22.49;51.27;51.27;;1984;;;;;;;;;;;;;;;;;;;;;;;;;;;135;139;;;5.0;;;;;;;6440;;;;;;;;;;;;;38.90;320.00;;;;;1.54;;;;;;;0.0366;;760.0;;;;;;;;;;;
Malus sargentii;Rosaceae;Malus;;botanical garden;Weryszko-Chmielewska & Dmitruk 2009;https://pbsociety.org.pl/journals/index.php/aa/article/view/aa.2009.003;;;;;Weryszko-Chmielewska, E., Dmitruk, M. 2009. Characteristics of blooming, floral nectaries and nectar of Malus sargentii Rehd. Acta Agrobotanica. 62, pp. 17-25.;;;;;;;Europe;Poland;Lublin;22.49;51.27;51.27;;2007-2008;;;;;;;;;;;;;;;;;;;;;;;;;;;126;141;133;;15.0;;;;;;;;;;;;;;5.0;711;;;;;32.16;258.00;;;;;;;;;;;;;;;;;;;;;;;;;
Malus sieboldii;Rosaceae;Malus;v. arboresc.;urban green area;Szklanowska 1992;"http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-article-e057bcdf-b2ad-4fd4-be9a-47c51d6d5fc7?q=bwmeta1.element.agro-volume-ce165fa2-7485-46a6-b0eb-c19f8094aa05;8&qt=CHILDREN-STATELESS";;;;;Szklanowska, K. 1992. Wydajnoœæ py³kowa niektórych ozdobnych drzew i krzewów z rodziny ró¿owatych (Rosaceae). Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 36, pp. 65-73.;;;;;;;Europe;Poland;Lublin;22.27;51.09;51.09;;1988-1990;;;;;;;;;;;;;;;;;;;;;;;;;;;115;140;;;;;;;;4550;;;;;;;;;;;;;;;;;;;;;;;;;;;9.30;;;680.0;;;;;;;;;;;
