Taxon_Id,Species,occ,Years (min),Years (max)
1006150,Atriplex prostrata DC.,0,1982,1982
1006190,Atropa bella-donna L.,10,1982,2019
1006200,Aubrieta deltoidea (L.) DC.,10,2013,2018
1006220,Aurinia saxatilis (L.) Desv.,9,2013,2019
1006240,Avena fatua L.,11,1899,2016
1006260,Avena sativa L.,6,1936,2016
1006320,Avenella flexuosa (L.) Drejer,2,1994,2022
1006330,Azolla filiculoides Lam.,1,2021,2021
1006360,Ballota nigra L.,2,1899,1966
1006370,Ballota nigra L. subsp. nigra,1,1899,1899
1006380,Ballota nigra subsp. meridionalis (Bég.) Bég.,1,1945,1966
1006420,Barbarea intermedia Boreau,7,1899,2013
1006440,Barbarea verna (Mill.) Asch.,2,2016,2016
1006450,Barbarea vulgaris R. Br.,21,1952,2022
1006490,Bellis perennis L.,64,1952,2022
1006510,Berberis julianae C. K. Schneid.,9,2013,2022
1006520,Berberis thunbergii DC.,30,2012,2022
1006530,Berberis vulgaris L.,15,1911,2022
1006550,Berteroa incana (L.) DC.,5,1899,1900
1006560,Berula erecta (Huds.) Coville,45,1899,2022
1006570,Beta vulgaris L.,8,1899,2016
1006600,Betula pendula Roth,39,1952,2022
1006595,Betula pendula aggr.,46,1952,2022
1006610,Betula pubescens Ehrh.,4,1952,2020
1006640,Bidens cernua L.,5,1868,2017
1006870,Blechnum spicant (L.) Roth,1,1994,2020
1006890,Blitum virgatum L.,1,2016,2016
1006900,Blysmus compressus (L.) Link,2,1768,1966
1006960,Borago officinalis L.,20,2012,2020
1006970,Bothriochloa ischaemum (L.) Keng,0,1966,1966
1006990,Botrychium lunaria (L.) Sw.,5,1966,2022
1007060,Brachypodium pinnatum (L.) P. Beauv.,3,2021,2022
1007070,Brachypodium pinnatum aggr.,33,1952,2022
1007090,Brachypodium sylvaticum (Huds.) P. Beauv.,55,1952,2022
1007110,Brassica juncea (L.) Czern.,2,1899,1899
1007120,Brassica napus L.,9,2009,2016
